lag,ccf,ci_95
-18,0.18083135969807304,0.15743098846488976
-17,0.1424797289143133,0.15743098846488976
-16,0.11466624034642255,0.15743098846488976
-15,0.0895295524963972,0.15743098846488976
-14,0.06366231080148105,0.15743098846488976
-13,0.03610406534237505,0.15743098846488976
-12,0.020861302856132257,0.15743098846488976
-11,0.004298265963232477,0.15743098846488976
-10,-0.009028814645923386,0.15743098846488976
-9,-0.02766053215302878,0.15743098846488976
-8,-0.03935573835556898,0.15743098846488976
-7,-0.049217848296826884,0.15743098846488976
-6,-0.05947305302803938,0.15743098846488976
-5,-0.06301506002510378,0.15743098846488976
-4,-0.06280706758982837,0.15743098846488976
-3,-0.05682483334610433,0.15743098846488976
-2,-0.052493304096006846,0.15743098846488976
-1,-0.04655983172973792,0.15743098846488976
0,-0.029825642092006343,0.15743098846488976
1,0.007001858576810133,0.15743098846488976
2,0.029492593774871127,0.15743098846488976
3,0.04320458478929149,0.15743098846488976
4,0.05691706203117085,0.15743098846488976
5,0.07138657723503919,0.15743098846488976
6,0.08351122657003603,0.15743098846488976
7,0.09786980597500675,0.15743098846488976
8,0.10723843688426452,0.15743098846488976
9,0.11395851507196743,0.15743098846488976
10,0.12100464158155748,0.15743098846488976
11,0.118290973658514,0.15743098846488976
12,0.11481927228097273,0.15743098846488976
13,0.11235899760120448,0.15743098846488976
14,0.11222723164379574,0.15743098846488976
15,0.11427477070266469,0.15743098846488976
16,0.11324233874896171,0.15743098846488976
17,0.10064026610160447,0.15743098846488976
18,0.07998482885292782,0.15743098846488976
