lag,ccf,ci_95
-18,0.03334025172798042,0.15743098846488976
-17,0.028802474228207604,0.15743098846488976
-16,0.026047324423166488,0.15743098846488976
-15,0.024118234145525858,0.15743098846488976
-14,0.02460756439683339,0.15743098846488976
-13,0.02662440822838929,0.15743098846488976
-12,0.03050755591012756,0.15743098846488976
-11,0.03482907803734845,0.15743098846488976
-10,0.040772214291454376,0.15743098846488976
-9,0.04557497294056116,0.15743098846488976
-8,0.05042000354737505,0.15743098846488976
-7,0.055976137422777905,0.15743098846488976
-6,0.0631990064621284,0.15743098846488976
-5,0.07232746142561622,0.15743098846488976
-4,0.0806881775155756,0.15743098846488976
-3,0.09056669717385532,0.15743098846488976
-2,0.1034925653165894,0.15743098846488976
-1,0.1209220878644505,0.15743098846488976
0,0.14184595339671546,0.15743098846488976
1,0.1692089401822189,0.15743098846488976
2,0.19393975031800184,0.15743098846488976
3,0.21633357990884078,0.15743098846488976
4,0.23788598801101987,0.15743098846488976
5,0.25901274477502784,0.15743098846488976
6,0.2772701326779786,0.15743098846488976
7,0.29612817998315494,0.15743098846488976
8,0.3122114456214537,0.15743098846488976
9,0.32458368228099166,0.15743098846488976
10,0.33145375254936155,0.15743098846488976
11,0.3325239410871439,0.15743098846488976
12,0.333303945933163,0.15743098846488976
13,0.33292477349601035,0.15743098846488976
14,0.3306678924054533,0.15743098846488976
15,0.32714822602552185,0.15743098846488976
16,0.3181609399524123,0.15743098846488976
17,0.3026985142584584,0.15743098846488976
18,0.2847301205478906,0.15743098846488976
