lag,ccf,ci_95
-18,-0.41479987620220493,0.15743098846488976
-17,-0.3955207810893861,0.15743098846488976
-16,-0.3732432693932045,0.15743098846488976
-15,-0.3538089132569525,0.15743098846488976
-14,-0.3363500177671807,0.15743098846488976
-13,-0.30486477911536547,0.15743098846488976
-12,-0.2566612937579155,0.15743098846488976
-11,-0.2221030271997608,0.15743098846488976
-10,-0.18290665815107143,0.15743098846488976
-9,-0.14043912993278942,0.15743098846488976
-8,-0.08315444882051606,0.15743098846488976
-7,-0.01715496794097375,0.15743098846488976
-6,0.040037151544264585,0.15743098846488976
-5,0.08599609120815595,0.15743098846488976
-4,0.12627083537408967,0.15743098846488976
-3,0.1713434828423964,0.15743098846488976
-2,0.22278207737906414,0.15743098846488976
-1,0.2950488687622967,0.15743098846488976
0,0.37388684518593646,0.15743098846488976
1,0.4158373108565867,0.15743098846488976
2,0.39937635845187003,0.15743098846488976
3,0.37011345062432194,0.15743098846488976
4,0.35269879389103165,0.15743098846488976
5,0.34866664889656057,0.15743098846488976
6,0.3437382779557244,0.15743098846488976
7,0.3396796231287968,0.15743098846488976
8,0.33203418781390365,0.15743098846488976
9,0.3226613426537187,0.15743098846488976
10,0.32134928851425876,0.15743098846488976
11,0.2934938882405352,0.15743098846488976
12,0.2556505595345517,0.15743098846488976
13,0.2353813672052534,0.15743098846488976
14,0.22028022858072055,0.15743098846488976
15,0.20894575301696883,0.15743098846488976
16,0.19657508450258518,0.15743098846488976
17,0.14925895498255345,0.15743098846488976
18,0.07717995612410584,0.15743098846488976
