lag,ccf,ci_95
-18,0.16491970681600004,0.15743098846488976
-17,0.165286644885503,0.15743098846488976
-16,0.16536112001920156,0.15743098846488976
-15,0.17970815232990398,0.15743098846488976
-14,0.1915156450834141,0.15743098846488976
-13,0.1913308537319277,0.15743098846488976
-12,0.18282879012193953,0.15743098846488976
-11,0.1796380548993877,0.15743098846488976
-10,0.16617065311020568,0.15743098846488976
-9,0.14153610885603185,0.15743098846488976
-8,0.11570401359456774,0.15743098846488976
-7,0.08459089984250746,0.15743098846488976
-6,0.0561107445352646,0.15743098846488976
-5,0.031619659143513695,0.15743098846488976
-4,0.01685900317036865,0.15743098846488976
-3,-0.00020168373787623312,0.15743098846488976
-2,-0.01982155979212287,0.15743098846488976
-1,-0.057624136251077415,0.15743098846488976
0,-0.1085747371609925,0.15743098846488976
1,-0.1376707480593567,0.15743098846488976
2,-0.12304921705256167,0.15743098846488976
3,-0.0950667225224547,0.15743098846488976
4,-0.072465754557595,0.15743098846488976
5,-0.06109490877451667,0.15743098846488976
6,-0.060811247501429855,0.15743098846488976
7,-0.05737124253421074,0.15743098846488976
8,-0.05955966804579998,0.15743098846488976
9,-0.05644308040936186,0.15743098846488976
10,-0.05491087398341171,0.15743098846488976
11,-0.040543221368468475,0.15743098846488976
12,-0.022073489558559544,0.15743098846488976
13,-0.018873233101512215,0.15743098846488976
14,-0.020507692342526227,0.15743098846488976
15,-0.02734968892179197,0.15743098846488976
16,-0.02983588801511159,0.15743098846488976
17,-0.012633406837243628,0.15743098846488976
18,0.029244219028114,0.15743098846488976
