,wti_price_weekly,rig_count,rig_country_canada,rig_country_united_states,rig_basin_ardmore_woodford,rig_basin_arkoma_woodford,rig_basin_barnett,rig_basin_cana_woodford,rig_basin_dj-niobrara,rig_basin_eagle_ford,rig_basin_fayetteville,rig_basin_granite_wash,rig_basin_haynesville,rig_basin_marcellus,rig_basin_mississippian,rig_basin_other,rig_basin_permian,rig_basin_utica,rig_basin_williston,rig_drillfor_gas,rig_drillfor_miscellaneous,rig_drillfor_oil,rig_state_alabama,rig_state_alaska,rig_state_alberta,rig_state_arizona,rig_state_arkansas,rig_state_british_columbia,rig_state_california,rig_state_colorado,rig_state_florida,rig_state_hawaii,rig_state_idaho,rig_state_illinois,rig_state_indiana,rig_state_kansas,rig_state_kentucky,rig_state_louisiana,rig_state_manitoba,rig_state_michigan,rig_state_mississippi,rig_state_montana,rig_state_nebraska,rig_state_nevada,rig_state_new_mexico,rig_state_new_york,rig_state_newfoundland_and_labrador,rig_state_nl_offshore,rig_state_north_dakota,rig_state_nova_scotia,rig_state_ohio,rig_state_oklahoma,rig_state_oregon,rig_state_pennsylvania,rig_state_saskatchewan,rig_state_south_dakota,rig_state_texas,rig_state_utah,rig_state_virginia,rig_state_west_virginia,rig_state_wyoming,rig_traj_directional,rig_traj_horizontal,rig_traj_other,rig_traj_vertical,us_production_mbbld,fed_funds,unemployment,indpro,cpi,ppi,ng_price,recession,t_bill_3m,treasury_2y,treasury_10y,sp500,sp500_ret_m,wti_mom_pct,cpi_mom_pct,ppi_mom_pct
wti_price_weekly,1.0,0.5410121508755876,0.47466146203368403,0.5259903305698574,0.4809312812268685,-0.06754957997342222,0.507417815037744,-0.10824820605792923,0.3750037804005013,0.5494008702154166,0.4507148049992628,0.519209309219052,0.4725731869458617,0.4002769219303674,0.494690292931365,0.5089131606168407,0.523806123284481,0.3402604027864949,0.5153584215545625,0.47536400614126256,0.44982099416178545,0.5528552403205325,0.336672681329449,0.2848790441807748,0.49149709269256175,0.27636187651859,0.4623940704599602,0.3686957163669989,0.4912526917216001,0.4031654189134839,0.3987895967971361,-0.17762289449483284,0.04292967692244188,0.32557314414043836,0.09237674713690601,0.4609366969074092,0.07811462765447819,0.481357038073013,0.34232160246141113,0.21610365554871486,0.35158928386681076,0.6042546724166867,0.12834414461402338,0.4820227509457534,0.5103235245381953,0.07228015203443675,-0.10776299815244779,0.0035062992828646536,0.5051812640345379,-0.18687369730566472,0.34437772352115426,0.34142923200183145,0.15110778943846767,0.3474847037550154,0.36807383510231584,0.4615984630030029,0.5349745345403877,0.7985591224489295,0.32561817216848765,0.44690645831663256,0.48469449490064703,0.5222711504622246,0.5358362031517401,0.030939333209459637,0.47926559286318726,-0.030019315092603003,0.14276703101617522,-0.10927976792177807,0.37631468184298666,0.2068503888115813,0.533012849047458,0.6119894404457109,-0.2439602109861301,0.16640344243730082,0.21553004165618317,0.42711057455250645,0.10873808044708777,-0.038538154339125934,0.06004191324815988,0.3038332653123102,0.16349103173288343
rig_count,0.5410121508755876,1.0,0.8049013641364064,0.9897074410560596,0.7867968302320205,0.449162758134504,0.8943294305459152,0.36849785818215103,0.9465761241074429,0.9657212893272541,0.864290462613629,0.918977776608191,0.14941723308147795,0.9318303580868439,0.9198717434308374,0.9683700352254188,0.835808616245417,0.9179342810185562,0.9635821125333125,0.9717372893468529,0.15099372872540426,0.997596875259115,0.8827173591946204,0.36275506777831074,0.7799732734455812,0.3293643974552113,0.8828629255292227,0.8270976335505485,0.9269397017715814,0.9591245894651624,0.8001093722942235,-0.305598884792989,0.24644539083026246,0.5598216733503167,0.5399486091441468,0.8772241639750107,0.5619731189707274,0.938760717952848,0.7118719505284543,-0.12361693176524553,0.9070658714672888,0.8641136784722656,0.6398774380627957,0.5207716067752555,0.1896846644850138,-0.028426658846084196,-0.0980831435354851,0.26638233497612207,0.9643428665617678,-0.13108598515559933,0.9128415344123432,0.9310038970731138,0.26236105226995377,0.9050104697049842,0.6611804582538284,0.6726946655807072,0.9859547699211184,0.8289064702818102,0.4578530323798293,0.8937913518313197,0.9595380246923354,0.9507378629318112,0.975496348380441,0.0824083641718836,0.9268118912322196,-0.5691155040191288,-0.2936356000020007,0.19072036652791122,0.38193188978615217,-0.4993812205277678,-0.25087324136712474,0.26995801014699167,-0.06924011974143152,-0.29660340820955655,-0.2853469838187712,0.035555810692908925,-0.5594474759006052,-0.030873294035756543,-0.18837957801705532,-0.2986427589362585,-0.24840228057580876
rig_country_canada,0.47466146203368403,0.8049013641364064,1.0,0.7116968379287064,0.5676351847890253,0.28696001160964957,0.6915398847249048,0.20185143793031401,0.6598494199582868,0.716931403559794,0.6489458939063144,0.6931687744669279,0.07066299977613086,0.6289152009935959,0.7038557089055443,0.9089160287830438,0.5684803737843452,0.6793662029637144,0.7159009586658768,0.8231515065103976,0.17275053258505813,0.7906568628469637,0.6174830581218392,0.3931814584526707,0.9917614292216648,0.11685439462455427,0.6734048781083758,0.8401239914144862,0.6361803795162297,0.6763675735900281,0.553725118749924,-0.29699992240275075,0.2725520145063978,0.370413520018717,0.3417333718145585,0.6649814860983859,0.4309581403907162,0.6685395740089265,0.8947669601521216,0.04152811080988326,0.6402749593032266,0.7248482635317669,0.47689199779864605,0.3796666159346784,0.15611360155440943,-0.04141093855266415,-0.14986765578686984,0.07747735689711216,0.7108512360368909,-0.0620424889545927,0.6709706791591915,0.6517044776449955,0.38084901070656235,0.6096619559560326,0.8678653605099245,0.5269725951728238,0.704186057926292,0.6723966832872728,0.2188132507932024,0.6206530692582457,0.708385207320865,0.7414174798906662,0.7906200430875711,0.11817337207753505,0.7451304536662389,-0.3980819648010822,-0.13425589625516718,0.08733909083228347,0.2803999201750806,-0.25036770496745864,-0.06034900444389587,0.25702422415700105,-0.11667610344984074,-0.13837175060416523,-0.12937806491828102,0.15571587902291367,-0.29894706541611216,-0.01721045785808842,-0.1694224456408444,-0.16045772008059353,-0.16565132753924333
rig_country_united_states,0.5259903305698574,0.9897074410560596,0.7116968379287064,1.0,0.7945328158886851,0.4625233189980111,0.8919509863758444,0.38755555436807104,0.9614438905329337,0.9703424457106472,0.8666622696745326,0.9207372769420491,0.1598415613490586,0.9514476615796544,0.9192183250503655,0.9271793639626215,0.8523499370795493,0.9228305763891484,0.9680585540636338,0.9518484110876033,0.13708857369397107,0.9902977645971405,0.8960638560765144,0.3346162995508313,0.6841733614174652,0.36172648327505613,0.8827501617777669,0.7765285875242997,0.9439059644519107,0.9723154750171976,0.8136469483029032,-0.29014887277852974,0.22601782809033683,0.5733976173466199,0.5567880216489631,0.8781062765329581,0.5613436881514151,0.9500961823470433,0.6269449464718191,-0.1563545786502489,0.9193915600229419,0.8481484937647085,0.6424907453847651,0.524938054384055,0.1869036658373705,-0.023665342128767832,-0.07997056502913029,0.2966634026542492,0.9701769301573624,-0.14021964214595267,0.918826351825585,0.9449734575687749,0.21874231259580348,0.9243409258454152,0.5734230847958839,0.6692629525030008,0.9973688150485392,0.8191187713364576,0.48924517188879063,0.9084089529192694,0.965083584179548,0.9466997993816969,0.9641436825311938,0.06905785105983123,0.9174804318818165,-0.5777273259409257,-0.3152336357646498,0.20471529942914077,0.3845163501024246,-0.530797290737815,-0.28243413310958365,0.2575971049157832,-0.0538301490935351,-0.3177544022047183,-0.3065977678858066,0.004539347967462018,-0.5901893740457876,-0.0323978583006459,-0.1821491434605521,-0.31484240097242927,-0.2541144272450015
rig_basin_ardmore_woodford,0.4809312812268685,0.7867968302320205,0.5676351847890253,0.7945328158886851,1.0,0.14599325558566606,0.8444769686412475,0.08690471122792526,0.7239850439690858,0.8663104829078381,0.8376595420882201,0.8180209881962087,0.04113347578910315,0.8063047224848721,0.8303984787299518,0.7487013059708448,0.5481546295355992,0.6571445902479311,0.8434835892771018,0.7929657277264356,0.35216275250862594,0.7754693433744526,0.7069676807363073,0.38303415038763783,0.5441805132847587,0.498505710317886,0.8340695829787927,0.6716157801410909,0.7697227171221659,0.7738432105261001,0.7188989875826106,-0.16577660378702358,0.11041888931831909,0.6685125377390985,0.34746480527699064,0.8107417378202811,0.29741146876257574,0.7894901456465464,0.5016818758466238,-0.021565072527865846,0.7227611389067972,0.8198175513703571,0.6011739919844584,0.5815712310221981,0.07868111848424268,-0.025723457171780085,0.004415344459654951,0.35673618264578094,0.8388987816612009,-0.15786839705035083,0.6509463001788065,0.6899302032154448,0.2901856278821272,0.7586166890761321,0.42140689685751315,0.7432966059017087,0.7771811841450933,0.7659998246785256,0.6053183518606059,0.8025860283637538,0.7546522891967654,0.845263693138748,0.6989720663648575,0.105074530564251,0.8376937507343539,-0.523876326187049,-0.26602051987380115,0.3670777171821865,0.10152126077975224,-0.40467034699203286,-0.18418052309386265,0.20632032209896972,0.020963166314551227,-0.27070165486958353,-0.2971964293461656,-0.008754502331040475,-0.4748872897996146,0.00587754845328199,-0.12905349187230405,-0.27096778246249337,-0.2283186396352353
rig_basin_arkoma_woodford,-0.06754957997342222,0.449162758134504,0.28696001160964957,0.4625233189980111,0.14599325558566606,1.0,0.26483769098497684,0.8145371485374859,0.556847311799084,0.3551516716969877,0.23909062787372942,0.2876819489094714,0.0437595923954267,0.49746177638794054,0.2682980918557755,0.40943688941517514,0.43601923341653276,0.6071019835331444,0.3354630694845276,0.4730843751075999,-0.4422992440271134,0.4396386830939366,0.40105458905221925,0.11320582407033672,0.26150286953569274,-0.09626475223436946,0.24498709379197278,0.32663868194833634,0.35683869126249673,0.5371850305228429,0.26562751678739444,-0.27827858742979183,0.2641561135127105,0.3396764624803111,0.16617369133652724,0.2695315418801371,0.454641311265393,0.47303807838083084,0.22482196800365073,-0.4945481669972329,0.42942927647619805,0.1163007067177641,0.3349340997084615,0.027680474540687283,-0.21394669748675665,0.0627186163095928,-0.09274524806216994,0.17663746766850083,0.35013558911535014,-0.008850763569918641,0.608379882401636,0.6667943007109045,-0.00893304737679591,0.5225179420015311,0.2820850709590182,0.04297081345129354,0.4666430823013326,0.07270157864559043,0.0035709268700880995,0.405223794330036,0.45778647192790184,0.3254272190107692,0.5115379654881074,-0.009487580944798488,0.29895964567281014,-0.5077710453137877,-0.3764339046743306,-0.1342228843894368,0.37102616090263035,-0.5941700412011424,-0.493656220298191,0.14754051370823634,-0.10896422007447455,-0.3639713412964736,-0.2550977226867929,-0.11801031046904624,-0.6158050795924717,-0.11594028766383385,-0.1291118403391408,-0.23501948417444848,-0.20421450650165845
rig_basin_barnett,0.507417815037744,0.8943294305459152,0.6915398847249048,0.8919509863758444,0.8444769686412475,0.26483769098497684,1.0,0.11680226045684895,0.8410507524042158,0.9539823879153084,0.9477686959522202,0.9634066964931561,-0.05933737120161829,0.8452904023894098,0.970522816687605,0.8872438414543437,0.5726707475892535,0.8249170428654234,0.9560771918466829,0.9067841008140992,0.29928351146189863,0.8803140942343376,0.8791277305283633,0.26871132917713614,0.6680055073343663,0.4766457429634219,0.9536156176560582,0.8057470666326271,0.9047346478067145,0.8855395642780117,0.787012579774084,-0.2516544849864099,0.26757207446859416,0.6987828225955722,0.4880251544296659,0.9480074246712242,0.5431673849371343,0.8932048174605467,0.6327489583256208,-0.06329376412968694,0.886572072205971,0.9274520990562639,0.6659660413711922,0.6435536561963965,-0.06994135073411456,-0.008399717533675499,0.06256867379010463,0.23303848541024857,0.9512938668453745,-0.053712231342284436,0.8211220452322304,0.8096770251164063,0.31665582375876594,0.8078826369456743,0.50626387624443,0.7962224825854907,0.8760210404991242,0.847233828164355,0.5625389332784704,0.8317222271429041,0.8112449219540184,0.9587598816459362,0.7827511479952032,0.1540080936230646,0.9797983138769313,-0.7223629429515562,-0.43662811277340563,0.44975792619512706,0.08744794100352951,-0.5393150872404633,-0.2938518800080397,0.24720567784579212,-0.0614598732435434,-0.4438485209116335,-0.4587497630257366,-0.11498045257279761,-0.5776656871892508,0.038734433811274636,-0.07836831749955538,-0.25953745853918136,-0.1410640133322037
rig_basin_cana_woodford,-0.10824820605792923,0.36849785818215103,0.20185143793031401,0.38755555436807104,0.08690471122792526,0.8145371485374859,0.11680226045684895,1.0,0.4360929734262297,0.2276283466066986,0.06821537639773843,0.14885623330277298,0.13514150992352064,0.44149880044004125,0.10133819507979729,0.2869008553759406,0.5236951266115034,0.48922723941777313,0.20029018350322547,0.3492099020850642,-0.4456736687319792,0.37252514234623607,0.28227555338010746,0.03321824454739434,0.19283984887122463,0.005848818047728147,0.07802120218069646,0.13802123411969736,0.23545353795936858,0.42832720831138854,0.15864024428252915,-0.349586978425081,0.029599653323267767,0.1477933541479194,0.1731012193437947,0.055066249434185144,0.27256590133271696,0.32192718242011087,0.18268527999055678,-0.3707447657369306,0.28962183828741705,0.0036365477408642874,0.10822080752890541,0.04374533427142391,-0.04034926572830381,-0.0007927900748679769,-0.03380621618951622,0.18683492052259468,0.21362349398150082,0.029804271999437117,0.4873027081400456,0.6083503646898706,-0.005574891761698346,0.48802771562448755,0.21677676425197823,0.04474518251158226,0.4097528732266399,-0.0034808363312254136,0.0893211657265687,0.31093515028265173,0.4228600505204737,0.19961465148477034,0.46923594492005477,-0.04392604644755725,0.16541380330397645,-0.3329236566892602,-0.164528212545379,-0.3222996404686071,0.48857474076457424,-0.4840281068973926,-0.44345293058483554,-0.010184635818933764,-0.1343427485258568,-0.15792982144918363,-0.06406281194591561,-0.014584182642768366,-0.4983960296973721,-0.08274558423689468,-0.06728884897789078,-0.18208228167189805,-0.13293165376286495
rig_basin_dj-niobrara,0.3750037804005013,0.9465761241074429,0.6598494199582868,0.9614438905329337,0.7239850439690858,0.556847311799084,0.8410507524042158,0.4360929734262297,1.0,0.9237328946827145,0.8289709717691646,0.8711408568082789,0.06680835252788263,0.9389466647325261,0.883734847630184,0.895861206720321,0.7758613469251352,0.9462624628253465,0.9297244809636498,0.9299220996961365,-0.013163066247977433,0.9420429602914779,0.9053867384548553,0.31967123210993864,0.6171116142310195,0.2850987968098278,0.8435961031768832,0.7745208066000999,0.9131523285527164,0.9878397512999917,0.7989916984104658,-0.2785216339158546,0.31090472039382033,0.6042522126724004,0.5580005771457572,0.8647000822022722,0.660227485936342,0.9503924226487719,0.5962964988802004,-0.314220644307624,0.9300989844166789,0.7515031261743955,0.7074358261780469,0.41209192351018215,0.02910509902426641,-0.018392113171380443,-0.01961265223467839,0.29289398522980586,0.9365127377386712,-0.05653574941084623,0.9448568009598228,0.9477874036761843,0.11287448242604882,0.9086614719224707,0.5589095434733395,0.5696958665601476,0.9527123201082647,0.693805473370535,0.44096278562603225,0.907055621115563,0.9346301639025988,0.9122013415100667,0.9220712371113673,-0.002208564565083389,0.87440637247787,-0.6586398197318328,-0.428953932547272,0.21380791674473013,0.3588916586887711,-0.659665357107995,-0.43424054807506307,0.20426378018100574,-0.03702098349682741,-0.4335699050196458,-0.4156332466536727,-0.11587645073179378,-0.7105396045011927,-0.044229900640241675,-0.1930258551647412,-0.3601001264628168,-0.29328817373485655
rig_basin_eagle_ford,0.5494008702154166,0.9657212893272541,0.716931403559794,0.9703424457106472,0.8663104829078381,0.3551516716969877,0.9539823879153084,0.2276283466066986,0.9237328946827145,1.0,0.946285723061754,0.9585992866842703,0.06650645535189224,0.9293478519488194,0.9727428446973145,0.9287528519143124,0.725973733097551,0.8883078515255866,0.9911416904955211,0.9581184544127994,0.24935020645796344,0.9571260880985325,0.904017551231554,0.37541271612717403,0.6907992838094603,0.42676298650099104,0.9551949784592865,0.8286250740201683,0.9333567975361706,0.9489256143813537,0.8183644968556932,-0.255471515677522,0.24071081143695625,0.6557812147891349,0.5104570954883765,0.9474883673996477,0.5562083056850119,0.9539831649161667,0.6260011267114873,-0.10388158142368312,0.9125124470456482,0.9034450388535435,0.7174086474419712,0.5878486047712309,0.08780086080174178,-0.011451163012745362,-0.03798567156273832,0.28471215039256553,0.9905443049840439,-0.13884141393273552,0.8839878919419506,0.8888532925433245,0.26664948760435847,0.893352369593495,0.5412220015404493,0.7300907567783017,0.9578108639585464,0.8628084472216502,0.5315995337495807,0.9021014019407289,0.9089887821674217,0.9751927954734163,0.8983580227256499,0.09984910400029377,0.9665946449788597,-0.6356376136400823,-0.35351935395170847,0.3152326473170206,0.26084224101213127,-0.5196828169970416,-0.2582164086854222,0.25983274373699994,-0.050892815830121826,-0.3580075707586353,-0.3599534739615245,-0.022170784125598145,-0.5820681149491408,-0.015701527965040697,-0.1504402428192632,-0.2896558795849198,-0.2203822601705948
