lag,beta,std_err,t_stat,p_value,r_squared,n
0,-2.798956066592824,7.534489195683617,-0.3714858424903309,0.7107896333890806,0.0009011592786289935,155
1,0.6547896462324441,7.468518243193407,0.08767330076875698,0.9302517387453826,5.056723011342967e-05,154
2,2.76133683367895,7.395510749445613,0.37338013928056923,0.7093892083941353,0.0009224114735690847,153
3,4.041592287733675,7.320594180268926,0.5520852799936528,0.5817115619220816,0.0020278671081980226,152
4,5.321685719929915,7.248868159842388,0.7341402274925116,0.4640169749896986,0.0036041568489569853,151
5,6.675318088365474,7.1694102514526135,0.9310832905695374,0.3533267799252833,0.0058234301933851595,150
6,7.81012560389596,7.083886462547829,1.102519873121587,0.27203748156022495,0.008201231719943025,149
7,9.143454432795734,7.006855923751069,1.3049297048912134,0.1939697734228863,0.011528833954811413,148
8,10.007739305108554,6.929121209957278,1.444301377024152,0.1508115627617086,0.014182222481731066,147
9,10.632184833857004,6.865369005216791,1.5486690993270604,0.12365625637997571,0.016382531316816662,146
10,11.302649167808118,6.794694566942962,1.6634521326090093,0.09841202346543045,0.018982839818216246,145
11,11.080295981659226,6.7420099580936705,1.6434707232013972,0.10249795140410393,0.018666049939861984,144
12,10.759060410285324,6.685846330550647,1.6092293897217358,0.10980287936731674,0.018034863819916924,143
13,10.532964794648366,6.63330868977644,1.5878900390814399,0.11456713394401277,0.01769134227301894,142
14,10.545255748299414,6.580678994884549,1.6024570954603172,0.11132463534096543,0.018138782236360118,141
15,10.751871571907932,6.529844045753213,1.6465740217640543,0.10192107905213374,0.01926787557326426,140
16,10.719575650011413,6.494888923934862,1.6504632759011169,0.10113893983801803,0.019495780676414,139
17,9.655116007347,6.482796062197472,1.4893443993476803,0.1387120717679106,0.016048158597025686,138
18,7.800826125396805,6.476280601043945,1.204522565643519,0.2304951375696835,0.010632944752308582,137
