lag,ccf,ci_95
-18,-0.37007554208115323,0.15743098846488976
-17,-0.3234953288273312,0.15743098846488976
-16,-0.2767514364325146,0.15743098846488976
-15,-0.23196854858336818,0.15743098846488976
-14,-0.18747928663474736,0.15743098846488976
-13,-0.13756533641369337,0.15743098846488976
-12,-0.08595580749033649,0.15743098846488976
-11,-0.030929226206968693,0.15743098846488976
-10,0.023403254865887162,0.15743098846488976
-9,0.08425955118194269,0.15743098846488976
-8,0.1473933165611003,0.15743098846488976
-7,0.20576544502645758,0.15743098846488976
-6,0.2590582543255944,0.15743098846488976
-5,0.305000564897869,0.15743098846488976
-4,0.34580246616613747,0.15743098846488976
-3,0.3837497195017542,0.15743098846488976
-2,0.42679411173137394,0.15743098846488976
-1,0.4802256577427758,0.15743098846488976
0,0.5375217499021969,0.15743098846488976
1,0.5701125818937381,0.15743098846488976
2,0.5889461394705835,0.15743098846488976
3,0.5993398551523057,0.15743098846488976
4,0.6020120243770767,0.15743098846488976
5,0.5914337544269451,0.15743098846488976
6,0.5701732166788179,0.15743098846488976
7,0.5400055572232714,0.15743098846488976
8,0.5046763008619346,0.15743098846488976
9,0.46845784344723446,0.15743098846488976
10,0.4343445768141002,0.15743098846488976
11,0.4025209964700528,0.15743098846488976
12,0.3698173094846349,0.15743098846488976
13,0.3336012451802692,0.15743098846488976
14,0.296114687845777,0.15743098846488976
15,0.26144116521542154,0.15743098846488976
16,0.2289674641441719,0.15743098846488976
17,0.19026191582409044,0.15743098846488976
18,0.14437175900619456,0.15743098846488976
