variable,count,missing,mean,std,min,p25,median,p75,max,skew,kurt,cv_%
wti_price_d,5270,0,72.237,21.241,-36.98,56.882,71.05,87.825,145.31,0.217,-0.133,29.405
t10y2y,5270,0,0.995,0.959,-1.08,0.21,0.93,1.72,2.91,0.155,-0.949,96.298
dxy,5270,0,106.186,12.312,85.469,93.704,109.813,116.539,130.041,-0.049,-1.462,11.595
sp500,5270,0,2647.046,1553.896,676.53,1371.842,2092.63,3768.415,6978.6,1.012,0.077,58.703
sp500_ret_d,5270,0,0.039,1.202,-11.984,-0.383,0.039,0.556,11.58,-0.207,13.328,3086.634
