lag,f_stat,p_value,reject_H0
1,23.4053,0.0,True
2,7.2757,0.001,True
3,4.9766,0.0026,True
4,5.6216,0.0003,True
5,4.9183,0.0004,True
6,4.6833,0.0002,True
7,4.0191,0.0005,True
8,3.8768,0.0004,True
9,3.358,0.001,True
10,3.3423,0.0007,True
11,2.4365,0.0089,True
12,2.7467,0.0025,True
